daily_id	index_id	season_id	daily_in_season	daily_name	team_format	gender_elim
d1801	1801	18	1	Chain Gang	team	mixed
d1802	1802	18	2	Swing On By	team	mixed
d1803	1803	18	3	Repo Race	team	mixed
d1804	1804	18	4	Burning Bridge	team	mixed
d1805	1805	18	5	Block Party	team	mixed
d1806	1806	18	6	Fruits of Your Labor	team	mixed
d1807	1807	18	7	Rotary Club	team	mixed
d1808	1808	18	8	On the Fence	team	mixed
d1809	1809	18	9	Wall Walker	team	mixed
d2001	2001	20	1	Gas Problems	team	mixed
d2002	2002	20	2	Brain Buster	team	mixed
d2003	2003	20	3	Bed Head	team	mixed
d2004	2004	20	4	Bottleneck Stampede	team	mixed
d2005	2005	20	5	Surf's Up	team	mixed
d2006	2006	20	6	Sky Hook	team	mixed
d2007	2007	20	7	Gimme a Hand	team	mixed
d2008	2008	20	8	High Ball	team	mixed
d2009	2009	20	9	Riot Act	team	mixed
d2101	2101	21	1	High Dive	pair	female
d2102	2102	21	2	Car Crusher	pair	male
d2103	2103	21	3	Sync or Swim	pair	female
d2104	2104	21	4	Hammock Crawl	pair	male
d2105	2105	21	5	Against the Current	pair	female
d2106	2106	21	6	Catch & Release	pair	male
d2107	2107	21	7	Sawed Off	pair	female
d2108	2108	21	8	Bombs Away	pair	male
d2201	2201	22	1	Give Me Some Honey	pair	mixed
d2202	2202	22	2	Hook Up	pair	mixed
d2203	2203	22	3	Mental Connection	pair	mixed
d2204	2204	22	4	Rolling in the Deep	pair	mixed
d2205	2205	22	5	Don't Rock the Boat	pair	mixed
d2206	2206	22	6	Lube Me Up	pair	mixed
d2207	2207	22	7	Race to the Altar	pair	mixed
d2208	2208	22	8	Feel the Burn	pair	mixed
d2301	2301	23	1	Don't Cross Me	team	mixed
d2302	2302	23	2	Oil Change	team	mixed
d2303	2303	23	3	Hook, Line & Sinker	team	mixed
d2304	2304	23	4	Don't Weigh Me Down	team	mixed
d2305	2305	23	5	Chairman of the Board	team	mixed
d2306	2306	23	6	Insane Games	team	mixed
d2307	2307	23	7	Logged Out	team	mixed
d2308	2308	23	8	Hunger Games	team	mixed
d2309	2309	23	9	Abandon Ship	team	mixed
d2310	2310	23	10	Force Field	team	mixed
d2311	2311	23	11	Sling Shot	team	mixed
d2401	2401	24	1	Game of Inches	pair	male
d2402	2402	24	2	XXX Games	pair	female
d2403	2403	24	3	Mind Over Splatter	pair	male
d2404	2404	24	4	Stumped	pair	female
d2405	2405	24	5	Frog Smash	pair	male
d2406	2406	24	6	Frenemies	pair	female
d2407	2407	24	7	Blind Leading the Blind	pair	male
d2408	2408	24	8	Swingers	pair	female
d2409	2409	24	9	Rampage	pair	male
d2410	2410	24	10	Color Correction	pair	female
d2501	2501	25	1	Out on a Ledge	team	mixed
d2502	2502	25	2	Auto Body Rally	pair	mixed
d2503	2503	25	3	Bar Crawl	team	mixed
d2504	2504	25	4	Bounce Out	team	mixed
d2505	2505	25	5	Piggy Back	team	mixed
d2506	2506	25	6	Smarty Pants	individual	mixed
d2507	2507	25	7	Sausage Party	individual	mixed
d2508	2508	25	8	Hold That Pose	team	mixed
d2509	2509	25	9	Dug Out	pair	mixed
d2510	2510	25	10	Crossover	pair	mixed
d2601	2601	26	1	I Got You Babe	pair	mixed
d2602	2602	26	2	Rounding the Bases	pair	mixed
d2603	2603	26	3	On Again, Off Again	pair	mixed
d2604	2604	26	4	The Brush Off	pair	mixed
d2605	2605	26	5	Open Arms	pair	mixed
d2606	2606	26	6	Don't Forget About Me	pair	mixed
d2607	2607	26	7	Are You the One?	pair	mixed
d2608	2608	26	8	Speed Dating	pair	mixed
d2609	2609	26	9	Wrecking Ball	pair	mixed
d2610	2610	26	10	Don't Let Me Down	pair	mixed
d2701	2701	27	1	Water Battle	pair	female
d2702	2702	27	2	Family Dinner	pair	male
d2703	2703	27	3	Meet Me Halfway	team	female
d2704	2704	27	4	Heir To The Throne	team	male
d2705	2705	27	5	Family Connection	team	female
d2706	2706	27	6	Hand Me Down	team	male
d2707	2707	27	7	Too Clingy	team	female
d2708	2708	27	8	Air Pockets	team	male
d2709	2709	27	9	Weight For Me	pair	mixed
d2710	2710	27	10	Truck Crossing	pair	female
d2801	2801	28	1	Give Me Some Slack	pair	mixed
d2802	2802	28	2	Dirty Laundry	pair	mixed
d2803	2803	28	3	Out on a Limb	pair	mixed
d2804	2804	28	4	Laps of Judgement	pair	mixed
d2805	2805	28	5	Road to Nowhere	pair	mixed
d2806	2806	28	6	Up All Night	pair	mixed
d2807	2807	28	7	Take It to the Grave	pair	mixed
d2808	2808	28	8	Catch & Release	pair	mixed
d2809	2809	28	9	Bridging the Gap	pair	mixed
d2901	2901	29	1	The Over Under	individual	mixed
d2902	2902	29	2	Shell Shocked	pair	mixed
d2903	2903	29	3	Caged and Confused	individual	mixed
d2904	2904	29	4	Knockout	team	mixed
d2905	2905	29	5	Roll with the Punches	team	mixed
d2906	2906	29	6	Curry Up	team	mixed
d2907	2907	29	7	Fallout	team	mixed
d2908	2908	29	8	Crossover	team	mixed
d2909	2909	29	9	X-It	team	mixed
d2910	2910	29	10	Caved In	team	mixed